id;libelle;description;delete_at;created_by;created_date;last_modified_by;last_modified_date
0b08b775-92f6-4b7f-839a-d57ce299b24b;trop;../fake-data/blob/hipster.txt;2024-03-30T04:58:26;énergique;2024-03-29T16:52:45;pschitt carrément adorable;2024-03-29T18:22:34
c068b83f-52cc-4a56-83d9-2c114f37c454;si;../fake-data/blob/hipster.txt;2024-03-29T20:30:19;assez;2024-03-29T23:30:01;au-dessous;2024-03-29T18:59:49
9140b4da-5c6f-4f0d-ad2f-642ad66dcf3e;lectorat super;../fake-data/blob/hipster.txt;2024-03-30T05:07:48;envers pisser;2024-03-29T17:50:21;reprendre;2024-03-29T21:31:11
a649fe55-6238-4379-be34-8afec595aa7e;même;../fake-data/blob/hipster.txt;2024-03-30T07:49:10;malade;2024-03-30T07:56:11;rédiger innombrable;2024-03-29T20:09:52
ea5e0bd7-e78b-4fe4-9432-e098217cdfa1;dehors aimable biathlète;../fake-data/blob/hipster.txt;2024-03-30T00:42:37;au cas où au cas où approximativement;2024-03-30T08:45:50;super;2024-03-29T18:20:57
5132ebc6-7235-4fe3-866a-d7123b90cc66;pour que moderne malgré;../fake-data/blob/hipster.txt;2024-03-30T00:34:38;drelin au-dehors responsable;2024-03-29T20:01:09;trop perplexe envers;2024-03-30T04:31:30
f6a8e745-c459-4794-badf-e0b92a35830e;du côté de fade de sorte que;../fake-data/blob/hipster.txt;2024-03-29T20:30:49;puisque équipe de recherche badaboum;2024-03-29T19:53:28;guère;2024-03-29T22:55:20
48455be9-9fde-427a-a17b-4e3b903b46e6;contrôler cocorico toujours;../fake-data/blob/hipster.txt;2024-03-29T21:59:37;cuicui;2024-03-30T05:51:23;souple;2024-03-30T12:04:06
864ae5be-7d1c-423f-8bc4-daad640a0957;situer aïe;../fake-data/blob/hipster.txt;2024-03-30T08:47:43;gouverner;2024-03-29T22:17:14;meuh;2024-03-29T18:35:12
1650b122-5752-4038-bbae-139efdecbe6b;réagir;../fake-data/blob/hipster.txt;2024-03-29T22:42:07;secours infime comprendre;2024-03-30T12:22:56;pour que pacifique vivace;2024-03-29T23:47:04
