id;libelle;description;prix;duree;avantage;delete_at;created_by;created_date;last_modified_by;last_modified_date
ce1b7f7a-73ec-4d2a-a190-3a3e1a4139cf;spécialiste de façon à admirablement;../fake-data/blob/hipster.txt;21489.15;pendant en outre de;../fake-data/blob/hipster.txt;2024-03-29T18:45:48;débile en dépit de;2024-03-29T22:03:25;habile grandement toc;2024-03-30T06:20:30
b564486b-4d7c-46c1-a10b-a27571e895dd;autrement extatique biathlète;../fake-data/blob/hipster.txt;6321.53;en dehors de;../fake-data/blob/hipster.txt;2024-03-30T04:13:11;lorsque vu que jeune enfant;2024-03-29T17:43:57;grrr;2024-03-30T13:56:27
984c018a-59d9-469e-a3cd-dab27a2b266f;délégation;../fake-data/blob/hipster.txt;30880.83;menacer dès;../fake-data/blob/hipster.txt;2024-03-30T00:32:05;avant établir;2024-03-30T09:38:19;chier;2024-03-30T15:00:49
914f269f-13a1-4aab-948b-6a639b228064;dynamique du fait que même si;../fake-data/blob/hipster.txt;23871.08;rentrer;../fake-data/blob/hipster.txt;2024-03-29T17:34:06;de sorte que derrière administration;2024-03-30T06:46:21;émettre personnel moderne;2024-03-29T16:08:41
6d05006d-4cec-4140-9209-9010a8904108;dès que;../fake-data/blob/hipster.txt;7185.74;badaboum entre-temps éteindre;../fake-data/blob/hipster.txt;2024-03-30T00:14:30;parce que;2024-03-30T07:39:48;promettre;2024-03-30T06:11:50
b764c99a-9c6b-4ea0-9287-76543a2fce4e;entre;../fake-data/blob/hipster.txt;16220.82;au-dessous de compter moderne;../fake-data/blob/hipster.txt;2024-03-29T19:04:36;incognito à l'insu de;2024-03-30T12:46:33;même si;2024-03-30T13:29:22
eca9b0da-7865-487d-bfd1-b75cca933a1f;fumer près;../fake-data/blob/hipster.txt;23474.48;au cas où trop plutôt;../fake-data/blob/hipster.txt;2024-03-30T09:19:12;aussitôt que;2024-03-29T17:14:39;fonctionner cuicui du moment que;2024-03-30T04:47:44
3df87fe8-d94b-4cff-ad2c-e7423c1fd575;exprès;../fake-data/blob/hipster.txt;30330.41;freiner sombrer;../fake-data/blob/hipster.txt;2024-03-29T19:17:49;athlète;2024-03-30T13:32:53;après certes à seule fin de;2024-03-30T12:51:39
f08c58a6-504c-43f2-b1d0-e74c8e688892;avant que bè large;../fake-data/blob/hipster.txt;2762.21;brusque;../fake-data/blob/hipster.txt;2024-03-30T03:12:10;impressionner en dépit de jusqu’à ce que;2024-03-29T23:45:12;au-dessus de diététiste touriste;2024-03-29T19:54:59
d02244f0-7e13-42b1-a2c7-86af021f2f15;biathlète commis de cuisine;../fake-data/blob/hipster.txt;8681.72;ha ha bien que;../fake-data/blob/hipster.txt;2024-03-29T16:51:06;au-dessus de cocorico fêter;2024-03-29T15:45:14;insipide;2024-03-30T12:37:53
