id;quantite;montant;vente_date;delete_at;created_by;created_date;last_modified_by;last_modified_date;produit_id;structure_id
7e1a3a05-04a5-463c-8f24-1de7aa3703fd;9506;5379.51;2024-03-30T11:34:28;2024-03-30T02:08:30;aïe;2024-03-30T15:34:35;énergique direction du fait que;2024-03-30T09:01:05;9a60e7c0-e04f-46ef-981d-0049a25e92ac;c5342440-ae0a-4c3f-aade-fb9e9f40967a
c3a569aa-5a54-419c-95d6-daa9ada730d7;11400;2410.33;2024-03-30T05:48:14;2024-03-30T13:25:13;obtenir;2024-03-30T13:46:00;près de commissionnaire;2024-03-30T08:59:01;d6432a26-edab-466a-94e2-3924ab5417cd;f215d7ad-b1e4-44ef-9d3e-5aacce475a09
0aa6bdc5-eea0-4208-b046-c708a3dc4dfc;25010;18110.03;2024-03-29T18:20:40;2024-03-30T05:23:47;ouf;2024-03-29T22:31:29;de manière à rendre;2024-03-29T21:03:15;ac480bc4-dbcc-4ec7-a341-4571b4e237c8;71f47175-2eed-4bd0-ac30-97ab3235266c
be3e4a09-bdfa-4f24-bc15-2407a618f41e;5245;3616.21;2024-03-29T18:24:42;2024-03-30T02:33:06;immense là-haut pschitt;2024-03-29T20:18:21;dès que;2024-03-30T14:49:40;30ff0740-38f5-43a8-b5a5-509359e9ccc7;6dbf2976-6642-40d7-8a92-941032b49a2d
042dfea1-66f8-4472-a6d7-b5e4da386c9f;10781;32087.16;2024-03-30T12:42:13;2024-03-30T09:37:36;commis premièrement caractériser;2024-03-29T17:43:01;rassembler;2024-03-29T19:47:33;c9f80a89-79ca-4ad4-b103-4c24c56e63b0;facf5540-3d9f-481e-88d1-bc82b47c6688
955d1908-561d-425e-ba2f-5fdf65f41bda;13174;5441.37;2024-03-30T14:06:09;2024-03-30T00:56:20;lectorat proche;2024-03-30T14:23:00;hôte ouin;2024-03-29T21:32:21;871919ad-f77d-43d8-a668-48ca07499a81;020009ec-967d-4cbf-a4e9-884410375528
8c7a3931-af7b-46cd-99d5-02c0584a9044;15157;27980.85;2024-03-30T04:50:02;2024-03-30T12:04:05;quoique croâ tellement;2024-03-30T06:17:22;avare;2024-03-30T03:37:05;4dd704a8-9d0b-4e13-9a74-0c113fb20866;ed7f737e-3d85-4062-af81-b1e84dd298b9
3a792279-7afc-4f41-beab-45d91f30db01;22472;804.56;2024-03-29T16:16:50;2024-03-30T14:10:03;hormis;2024-03-30T06:11:02;miam pourpre;2024-03-30T12:55:58;58b2e2b0-91f7-45e9-92bc-82908591283a;af860256-598a-4a25-b219-1052aa099e95
86efced5-fce4-4d9b-a0cd-30ada4c32a95;31498;31410.81;2024-03-29T22:33:21;2024-03-30T08:20:30;manier athlète;2024-03-30T00:44:29;timide super ronron;2024-03-30T01:40:20;db1cdc7a-6e45-4e93-bd7c-2a5ea0906c54;c9af1151-dd70-417c-a779-8cb50725b60c
a62a9122-8715-44c3-b25d-d2089d5ad2d6;27145;16077.72;2024-03-30T11:42:07;2024-03-29T17:44:11;triathlète;2024-03-29T17:20:40;badaboum vis-à-vie de moderne;2024-03-29T17:56:30;d2426e77-21b2-4864-8f79-e8efba4c611f;0a685e5e-e2f0-4e6c-ad9b-b7e3456cc1fd
